date,trxation,amount,Category
5/05/2022,uber *trip sydney aus,-14.57,Transportation
4/05/2022,prouds 250 burwood nsw,-108,Shopping
4/05/2022,sq *wolfpack coffee r mortlake aus,-9.6,Coffee
3/05/2022,uber *eats sydney aus,-50.19,Food Delivery
3/05/2022,sq *wolfpack coffee r mortlake aus,-13.1,Coffee
2/05/2022,flower shop network 8773767363 ar ##0522 146.16 us dollar,-207.89,Shopping
2/05/2022,sq *powells creek ten north strathaus,-25,Tennis
2/05/2022,sq *powells creek ten north strathaus,-85,Tennis
2/05/2022,iga breakfast breakfast poaus,-39.46,Groceries
2/05/2022,apple.com/bill sydney nsw,-7.99,Subscription - TV
2/05/2022,sq *wolfpack coffee r mortlake aus,-9.6,Coffee
2/05/2022,bfast point pharmacy breakfast ponsw,-12.95,Pharmacy
1/05/2022,dbs*fitness local mort mortlake ns,-21.95,Gym
1/05/2022,mamabox australia stoneville wa,-89,Subscription - Shopping
1/05/2022,sq *wolfpack coffee r mortlake aus,-15.1,Coffee
30/04/2022,csiro parkes visitor parkes nsw,-74.8,Entertainment
30/04/2022,hungry jacks orange aus,-29.8,Eating out
30/04/2022,netflix.com netflix.com ca ##0522 16.77 us dollar,-23.73,Subscription - TV
29/04/2022,amznprimeau membership sydney southnsw,-6.99,Subscription - Shopping
29/04/2022,the barmedman inc barmedman nsw,-19.5,Travel
29/04/2022,sq *powells creek ten north strathaus,-220,Tennis
29/04/2022,metro petroleum (west west wyalong,-27.4,Gas
28/04/2022,sq *wolfpack coffee r mortlake aus,-9.6,Coffee
28/04/2022,mcdonalds sutton frst sutton fores,-36.05,Eating out
28/04/2022,transportfornsw tap sydney,-12.42,Transportation
28/04/2022,west wyalong s+c club west wyalongnsw,-11.5,Drinking out
28/04/2022,dazed cafe mortlake aus,-10,Coffee
28/04/2022,uber* eats sydney nsw,-52.29,Food Delivery
27/04/2022,citi store pty ltd sydney nsw,-40,Shopping
27/04/2022,amzn digital*1q8er0id1 888-802-3080wa ##0422 12.66 us dollar,-17.73,Kindle Books
27/04/2022,sq *wolfpack coffee r mortlake aus,-9.1,Coffee
26/04/2022,dbs*fitness local mort mortlake ns,-21.95,Gym
26/04/2022,sq *wolfpack coffee r mortlake aus,-9.6,Coffee
16/06/2022,direct credit 533982 charles david bo borison charles da,21244.13,Transfer In
14/06/2022,transfer to xx2704 commbank app,-29000,Transfer Out
10/06/2022,direct credit 533982 charles david bo borison charles da,13756.79,Transfer In
9/06/2022,direct credit 533982 charles david bo borison charles da,13791.19,Transfer In
7/06/2022,international atm withdrawal fee,-15.15,ATM Fee
7/06/2022,wdl atm westpac nadi airport nadi fj fjd515.00,-338.24,ATM Withdrawl 
3/06/2022,transfer to xx9140 commbank app xfer to cover rent,-50,Transfer Out
3/06/2022,transfer to xx9140 commbank app xfer to cover rent,-150,Transfer Out
31/05/2022,transfer to xx9140 netbank june rent cdb,-1607.74,Rent Payment
31/05/2022,transfer to xx9687 netbank,-4749.28,Credit Card Payment
30/05/2022,salary intuit australia ads135745 115629,8354.62,Income
19/05/2022,stan.com.au sydney au aus card xx9641 value date: 17/05/2022,-29,Subscription - TV
18/05/2022,direct debit 245164 hcfhealth 035325134smubaordz,-157.25,Health Insurance
10/05/2022,transfer to r meadows payid phone from commbank app phone stuff,-57,Shopping
5/05/2022,non cba atm withdrawal fee,-2.8,ATM Fee
5/05/2022,wdl atm red atmx 83-89 parram concord au,-250,ATM Withdrawl 
4/05/2022,transfer to xx9140 netbank obgyn split,-150,Transfer Out
4/05/2022,transfer to xx9140 netbank internet split,-84.99,Transfer Out
4/05/2022,transfer to xx9140 netbank ultrasound split,-190,Transfer Out
4/05/2022,transfer to xx9140 netbank,-90.89,Transfer Out
2/05/2022,transfer to xx2704 netbank,-2500,Transfer Out
