date,code,amount
2022/05/28,anchor and arrow pty l brookvale,-50
2022/05/28,love to dream waterloo,-42.5
2022/05/27,iga breakfast breakfast poaus,-41.82
2022/05/27,fitness local mortlake mortlake nsw,-4
2022/05/27,sq *wolfpack coffee r mortlake aus,-9.6
2022/05/27,iga breakfast breakfast poaus,-72.09
2022/05/26,fitness local mortlake mortlake nsw,-4
2022/05/26,sq *wolfpack coffee r mortlake aus,-13.1
2022/05/25,fitness local mortlake mortlake nsw,-4
2022/05/25,sq *wolfpack coffee r mortlake aus,-12.6
2022/05/25,curiositystream silver sprinmd 0522 3.29 us dollar,-4.66
2022/05/25,transportfornsw tap sydney,-12.42
2022/05/24,bridge store pty ltd sydney,-43.5
2022/05/24,sushi and nori sydney nsw,-25
2022/05/24,crema at the garden ca sydney,-8.5
2022/05/24,crema at the garden ca sydney,-5.5
2022/05/23,iga breakfast breakfast poaus,-34.52
2022/05/23,dbs*fitness local mort mortlake ns,-21.95
2022/05/23,sq *wolfpack coffee r mortlake aus,-9.1
2022/05/23,deliveroo north sydneynsw,-54.28
2022/05/22,bp pymble 0957 pymble nsw,-59.4
2022/05/22,sabor in the hunter pokolbin nsw,-60
2022/05/21,harrigans irish pub pokolbin nsw,-20.5
2022/05/21,harrigans irish pub pokolbin nsw,-9
2022/05/21,harrigans irish pub pokolbin nsw,-8
2022/05/21,broke village store broke nsw,-13.5
2022/05/20,roche group harrigans pokolbin nsw,-17.3
2022/05/20,roche group harrigans pokolbin nsw,-44.3
2022/05/20,harrigans irish pub pokolbin nsw,-53
2022/05/20,steam purchase seattle deu  deu merchant,-52.46
2022/05/20,sq *wolfpack coffee r mortlake aus,-13.1
2022/05/20,iga breakfast breakfast poaus,-36.81
2022/05/19,sq *wolfpack coffee r mortlake aus,-9.1
2022/05/18,apple.com/bill sydney aus,-51.99
2022/05/18,apple.com/bill sydney nsw,-19.99
2022/05/18,sq *wolfpack coffee r mortlake aus,-12.6
2022/05/18,transportfornsw tap sydney,-12.42
2022/05/17,apple.com/bill sydney aus,-1.49
2022/05/17,willoughby city counci chatswood aus,-5.2
2022/05/17,bridge store pty ltd sydney,-42.99
2022/05/17,quay newsagency sydney nsw,-5.09
2022/05/17,deliveroo north sydneynsw,-70.68
2022/05/17,crema at the garden ca sydney,-5.5
2022/05/16,iga breakfast breakfast poaus,-47.7
2022/05/16,dbs*fitness local mort mortlake ns,-21.95
2022/05/16,sq *powells creek ten north strathaus,-45
2022/05/16,sq *wolfpack coffee r mortlake aus,-13.1
2022/05/16,transportfornsw tap sydney,-6.45
2022/05/15,steam purchase seattle deu  deu merchant,-35.95
2022/05/15,bus insiderbi prime 6463766096 ny 0522 9.95 us dollar,-14.57
2022/05/15,uber *eats sydney aus,-43.59
2022/05/15,ground control cafe sydney nsw,-10.2
2022/05/15,budget petrol northqps north strath,-33.18
2022/05/15,transportfornsw tap sydney,-4.48
2022/05/14,sydney rocks brewing alexandria nsw,-47
2022/05/14,sydney rocks brewing alexandria nsw,-4.5
2022/05/14,harajukugyozadh noosa heads qld,-64.45
2022/05/14,transportfornsw tap sydney,-10.24
2022/05/14,strike alexandria 10 alexandria nsw,-14
2022/05/14,amzn digital*1l5gz7z92 888-802-3080wa 0522 14.39 us dollar,-21.07
2022/05/14,uber *trip sydney aus,-24.48
2022/05/14,uber *trip sydney aus,-5
2022/05/14,uber *trip sydney aus,-34.41
2022/05/13,theatre royal bar sydney nsw,-23
2022/05/13,jolene's sydney nsw,-19.19
2022/05/13,todaytix australia pty 9174147250 nsw,-189.9
2022/05/13,city of canada bay c drummoyne,-51.3
2022/05/13,py holdings pty limite sydney,-49.9
2022/05/13,royal copenhagen cir sydney,-6
2022/05/13,camden valley inn camden park nsw,-44.5
2022/05/12,camden valley inn camden park nsw,-7.7
2022/05/12,camden valley inn camden park nsw,-14.1
2022/05/12,camden valley inn camden park nsw,-9
2022/05/12,camden valley inn camden park nsw,-18
2022/05/12,camden valley inn camden park nsw,-9
2022/05/12,camden valley inn camden park nsw,-17.2
2022/05/12,meandu *camden valley surry hills aus,-45.54
2022/05/12,camden valley inn camden park nsw,-28
2022/05/12,camden valley inn camden park nsw,-10
2022/05/11,fitness local mortlake mortlake nsw,-2.5
2022/05/11,sq *wolfpack coffee r mortlake aus,-12.6
2022/05/11,enzo catering pty ltd mount hutton,-188.19
2022/05/10,amzn digital*136z898q0 888-802-3080wa 0522 12.02 us dollar,-17.4
2022/05/10,sq *wolfpack coffee r mortlake aus,-9.6
2022/05/10,prime video channels sydney nsw,-8.99
2022/05/10,blade and barrel pty concord nsw,-144.9
2022/05/09,iga breakfast breakfast poaus,-62.38
2022/05/09,dbs*fitness local mort mortlake ns,-21.95
2022/05/09,sq *wolfpack coffee r mortlake aus,-12.6
2022/05/09,prime video channels sydney nsw,-4.99
2022/05/08,sq *powells creek ten north strathaus,-41.8
2022/05/08,uber* trip sydney nsw,-28.54
2022/05/07,iga breakfast breakfast poaus,-65.79
2022/05/07,soul origin macarthu campbelltownnsw,-20.6
2022/05/07,yf & zd pty ltd breakfast ponsw,-10.2
2022/05/07,connor clothing pty ambarvale,-7.99
2022/05/07,david jones limited macarthur sq,-159
2022/05/07,betts campbelltown,-214.99
2022/05/06,prime video channels sydney nsw,-8.99
2022/05/06,sq *wolfpack coffee r mortlake aus,-13.1
2022/05/06,amzn digital*1l31s8f31 888-802-3080wa 0522 11.60 us dollar,-16.34
2022/05/06,palace hotel mortlake aus,-8.3
2022/05/06,palace hotel mortlake aus,-8.3
2022/05/06,palace hotel mortlake aus,-16.61
2022/05/05,bp concord 6049 concord nsw,-15.49
2022/05/05,uber *eats sydney aus,-51.99
2022/05/05,uber* trip sydney nsw,-13.19
2022/05/05,sq *wolfpack coffee r mortlake aus,-12.6
2022/05/05,uber *trip sydney aus,-14.57
2022/05/04,prouds 250 burwood nsw,-108
2022/05/04,sq *wolfpack coffee r mortlake aus,-9.6
2022/05/03,uber *eats sydney aus,-50.19
2022/05/03,sq *wolfpack coffee r mortlake aus,-13.1
2022/05/02,flower shop network 8773767363 ar 0522 146.16 us dollar,-207.89
2022/05/02,sq *powells creek ten north strathaus,-25
2022/05/02,sq *powells creek ten north strathaus,-85
2022/05/02,iga breakfast breakfast poaus,-39.46
2022/05/02,apple.com/bill sydney nsw,-7.99
2022/05/02,sq *wolfpack coffee r mortlake aus,-9.6
2022/05/02,bfast point pharmacy breakfast ponsw,-12.95
2022/05/01,dbs*fitness local mort mortlake ns,-21.95
2022/05/01,mamabox australia stoneville wa,-89
2022/05/01,sq *wolfpack coffee r mortlake aus,-15.1
2022/04/30,csiro parkes visitor parkes nsw,-74.8
2022/04/30,hungry jacks orange aus,-29.8
2022/04/30,netflix.com netflix.com ca 0522 16.77 us dollar,-23.73
2022/04/29,amznprimeau membership sydney southnsw,-6.99
2022/04/29,the barmedman inc barmedman nsw,-19.5
2022/04/29,sq *powells creek ten north strathaus,-220
2022/04/29,metro petroleum (west west wyalong,-27.4
2022/04/28,sq *wolfpack coffee r mortlake aus,-9.6
2022/04/28,mcdonalds sutton frst sutton fores,-36.05
2022/04/28,transportfornsw tap sydney,-12.42
2022/04/28,west wyalong s+c club west wyalongnsw,-11.5
2022/04/28,dazed cafe mortlake aus,-10
2022/04/28,uber* eats sydney nsw,-52.29
2022/04/27,citi store pty ltd sydney nsw,-40
2022/04/27,amzn digital*1q8er0id1 888-802-3080wa 0422 12.66 us dollar,-17.73
2022/04/27,sq *wolfpack coffee r mortlake aus,-9.1
2022/04/26,dbs*fitness local mort mortlake ns,-21.95
2022/04/26,sq *wolfpack coffee r mortlake aus,-9.6
2022/04/25,palace hotel mortlake aus,-8.3
2022/04/25,curiositystream silver sprinmd 0422 3.29 us dollar,-4.54
2022/04/24,oriantal mortlake nsw,-101
2022/04/24,deliveroo north sydneynsw,-59.08
2022/04/24,iga breakfast breakfast poaus,-45.98
2022/04/24,iga breakfast breakfast poaus,-66.14
2022/04/24,sq *wolfpack coffee r mortlake aus,-12.6
2022/04/23,sq *wolfpack coffee r mortlake aus,-12.6
2022/04/23,australian turf club rosehill,-31.8
2022/04/22,blade and barrel pty concord nsw,-65
2022/04/22,myholidaycentre broadbeach aus,-2781.96
2022/04/22,sq *wolfpack coffee r mortlake aus,-13.1
2022/04/21,amzn digital*1o41e0le2 888-802-3080wa 0422 9.64 us dollar,-13.09
2022/04/21,iga breakfast breakfast poaus,-37.18
2022/04/21,sq *wolfpack coffee r mortlake aus,-9.1
2022/04/21,airbnb * hmz2n8jja2 surry hills aus,-254.17
2022/04/20,cigna st peter porggy 0422 480.27 us dollar,-654.16
2022/04/20,iga breakfast breakfast poaus,-37.06
2022/04/20,sq *wolfpack coffee r mortlake aus,-13.1
2022/04/19,petco animal sppls pl lane cove,-184.84
2022/04/19,steamgames.com 4259522 hamburg deu  deu merchant,-28.95
2022/04/19,willoughby city counci chatswood aus,-6.2
2022/04/19,dbs*fitness local mort mortlake ns,-21.95
2022/04/19,sq *wolfpack coffee r mortlake aus,-9.1
2022/04/18,blacktelio tallinn dub 0422 25.00 euro natl curr uni,-36.71
2022/04/18,apple.com/bill sydney nsw,-4.99
2022/04/18,sq *powells creek ten north strathaus,-40
2022/04/18,apple.com/bill sydney aus,-26.98
2022/04/18,apple.com/bill sydney aus,-51.99
2022/04/18,amzn digital*1a5wy6dx2 888-802-3080wa 0422 8.89 us dollar,-12.1
2022/04/18,sq *wolfpack coffee r mortlake aus,-9.6
2022/04/17,yf & zd pty ltd breakfast ponsw,-10.67
2022/04/17,apple.com/bill sydney nsw,-1.49
2022/04/16,sq *wolfpack coffee r mortlake aus,-13.1
2022/04/16,iga breakfast breakfast poaus,-51.78
2022/04/16,iga breakfast breakfast poaus,-30.23
2022/04/16,trial trial bus ins 6463766096 ny 0422 1.00 us dollar,-1.35
2022/04/15,sq *wolfpack coffee r mortlake aus,-12.6
2022/04/15,sq *powells creek ten north strathaus,-211.2
2022/04/14,iga breakfast breakfast poaus,-65.47
2022/04/14,sq *wolfpack coffee r mortlake aus,-9.6
2022/04/13,sq *wolfpack coffee r mortlake aus,-12.6
2022/04/12,bellizzi studios crows nest nsw,-100
2022/04/12,yf & zd pty ltd breakfast ponsw,-4.5
2022/04/11,steam purchase seattle deu  deu merchant,-38
2022/04/11,steam purchase seattle deu  deu merchant,-28.95
2022/04/11,dbs*fitness local mort mortlake ns,-21.95
2022/04/11,sq *wolfpack coffee r mortlake aus,-9.1
2022/04/10,sq *powells creek ten north strathaus,-80
2022/04/10,amazon marketplace au sydney southnsw,-101.62
2022/04/10,sq *wolfpack coffee r mortlake aus,-9.6
2022/04/10,prime video channels sydney nsw,-8.99
2022/04/10,mortlake ocean foodqps concord,-31.8
2022/04/09,dazed cafe mortlake aus,-35
2022/04/09,sq *wolfpack coffee r mortlake aus,-9.1
2022/04/09,prime video channels sydney nsw,-4.99
2022/04/08,sq *wolfpack coffee r mortlake aus,-12.6
2022/04/08,palace hotel mortlake aus,-65.81
2022/04/08,palace hotel mortlake aus,-24.91
2022/04/08,palace hotel mortlake aus,-8.3
2022/04/07,iga breakfast breakfast poaus,-60.29
2022/04/07,deliveroo north sydneynsw,-41.96
2022/04/06,prime video channels sydney nsw,-8.99
2022/04/05,sq *powells creek ten north strathaus,-264
2022/04/05,sq *wolfpack coffee r mortlake aus,-13.1
2022/04/04,iga breakfast breakfast poaus,-68.53
2022/04/04,dbs*fitness local mort mortlake ns,-21.95
2022/04/04,yf & zd pty ltd breakfast ponsw,-8.9
2022/04/04,sq *powells creek ten north strathaus,-80
2022/04/03,sq *wolfpack coffee r mortlake aus,-9.6
2022/04/03,uber *eats sydney aus,-48.49
2022/04/02,apple.com/bill sydney aus,-7.99
2022/04/02,transportfornsw tap sydney,-12.42
2022/04/02,sq *the maternity mar moore park aus,-16
2022/04/02,sq *bunjie pty ltd moore park aus,-29.99
2022/04/02,sq *marigold baby moore park aus,-59.94
2022/04/02,sq *wolfpack coffee r mortlake aus,-9.1
2022/04/02,sq *wild indiana moore park aus,-20
2022/04/02,sq *rochilou moore park aus,-74.95
2022/04/02,uber *eats sydney aus,-34.28
2022/04/02,uber *eats sydney aus,-1.71
2022/04/02,dos senoritas gladesville nsw,-80
2022/04/01,"republic bar, taylors sydney nsw",-42.33
2022/04/01,"republic bar, taylors sydney nsw",-11.98
2022/04/01,mamabox australia stoneville wa,-89
2022/03/31,sq *wolfpack coffee r mortlake aus,-9.6
2022/03/30,yf & zd pty ltd breakfast ponsw,-4.5
2022/03/30,sq *wolfpack coffee r mortlake aus,-9.6
2022/03/30,deliveroo north sydneynsw,-59.99
2022/03/30,amzn digital*1h1i37421 888-802-3080wa 0322 11.25 us dollar,-15.09
2022/03/29,amznprimeau membership sydney southnsw,-6.99
2022/03/29,sq *wolfpack coffee r mortlake aus,-9.6
2022/03/29,amzn digital*164fp6vg0 888-802-3080wa 0322 9.76 us dollar,-13.07
2022/03/28,iga breakfast breakfast poaus,-73.8
2022/03/28,sq *wolfpack coffee r mortlake aus,-9.6
2022/03/27,dbs*fitness local mort mortlake ns,-21.95
2022/03/27,yf & zd pty ltd breakfast ponsw,-10.4
2022/03/26,sq *wolfpack coffee r mortlake aus,-9.6
2022/03/26,amzn digital*1689d34q0 888-802-3080wa 0322 10.99 us dollar,-14.67
2022/03/26,transportfornsw tap sydney,-12.42
2022/03/26,uber *eats sydney aus,-50.99
2022/03/25,"republic bar, taylors sydney nsw",-50.89
2022/03/25,"republic bar, taylors sydney nsw",-39.99
2022/03/25,dazed cafe mortlake aus,-40
2022/03/25,sq *wolfpack coffee r mortlake aus,-9.6
2022/03/25,curiositystream silver sprinmd 0322 3.29 us dollar,-4.41
2022/03/25,uber *eats sydney aus,-33.9
2022/03/24,sq *charlie's mates wentworth poaus,-70
2022/03/24,iga breakfast breakfast poaus,-10.99
2022/03/24,uber *eats sydney aus,-45.79
2022/03/23,sq *wolfpack coffee r mortlake aus,-9.6
2022/03/23,amazon marketplace au sydney southnsw,-65.99
2022/03/23,amazon au sydney southnsw,-15.95
2022/03/22,burwood council burwood aus,-6
2022/03/22,amazon marketplace au sydney southnsw,-68.9
2022/03/22,amazon marketplace au sydney southnsw,-6
2022/03/22,dazed cafe mortlake aus,-46
2022/03/22,sq *wolfpack coffee r mortlake aus,-9.6
2022/03/22,nbc-pay & display park dee why,-30
2022/03/22,caltex star mart long beacon hill,-15.35
2022/03/22,amazon marketplace au sydney southnsw,-155.19
2022/03/21,amazon marketplace au sydney southnsw,-18.97
2022/03/21,amazon marketplace au sydney southnsw,-46.9
2022/03/21,iga breakfast breakfast poaus,-43.8
2022/03/21,sq *wolfpack coffee r mortlake aus,-9.6
2022/03/21,bfast point pharmacy breakfast ponsw,-53.9
2022/03/21,grouptogether pty ltd. sydney,-100
2022/03/20,dbs*fitness local mort mortlake ns,-21.95
2022/03/20,cbeach burwood burwood aus,-112.97
2022/03/20,sq *powells creek ten north strathaus,-80
2022/03/20,le wrap burwood burwood nsw,-44.3
2022/03/20,domo sushi pty ltd qps burwood,-8.9
2022/03/19,dan murphy's 1535 campbelltownns,-39.48
2022/03/19,hungry jacks ashfield aus,-21.4
2022/03/19,iga breakfast breakfast poaus,-4.39
2022/03/18,sq *wolfpack coffee r mortlake aus,-9.6
2022/03/18,crowne plaza sydney bu burwood nsw,-419.2
2022/03/18,apple.com/bill sydney aus,-71.98
2022/03/17,apple.com/bill sydney aus,-1.49
2022/03/16,sq *powells creek ten north strathaus,-105.6
2022/03/16,woolworths 1332 burwood ns,-183.87
2022/03/16,sq *wolfpack coffee r mortlake aus,-9.6
2022/03/15,iga breakfast breakfast poaus,-41.45
2022/03/15,yf & zd pty ltd breakfast ponsw,-9.6
2022/03/15,uber *eats sydney aus,-68.19
2022/03/15,amazon marketplace au sydney southnsw,-180
2022/03/15,amazon marketplace au sydney southnsw,-24.99
2022/03/14,sq *wolfpack coffee r mortlake aus,-9.1
2022/03/13,dbs*fitness local mort mortlake ns,-12
2022/03/13,dbs*fitness local mort mortlake ns,-21.95
2022/03/12,yf & zd pty ltd breakfast ponsw,-9.6
2022/03/12,iga breakfast breakfast poaus,-21.66
2022/03/12,bfast point pharmacy breakfast ponsw,-14.95
2022/03/12,rsi international wilmslow lnd 0322 59.95 us dollar,-82.1
2022/03/12,uber *eats sydney aus,-59.59
2022/03/11,iga breakfast breakfast poaus,-103.48
2022/03/11,sq *wolfpack coffee r mortlake aus,-9.1
2022/03/10,prime video channels sydney nsw,-8.99
2022/03/09,prime video channels sydney nsw,-4.99
2022/03/09,paypal *japublishin 4029357733 aus,-14.37
2022/03/06,ezi*wellness local (m mortlake aus,-49
2022/03/06,prime video channels sydney nsw,-8.99
2022/03/06,amazon marketplace au sydney southnsw,-69.99
2022/03/05,deliveroo north sydneynsw,-50.44
2022/03/04,mamabox australia stoneville wa,-89
2022/03/04,officeworks 0201 five dock aus,-2.49
2022/03/04,iga breakfast breakfast poaus,-45.79
2022/03/04,iga breakfast breakfast poaus,-39.64
2022/03/03,apple.com/bill sydney nsw,-7.99
2022/03/03,deliveroo north sydneynsw,-68.45
2022/03/02,apple.com/bill sydney nsw,-19.99
2022/02/28,sq *powells creek ten north strathaus,-363
2022/02/28,sq *powells creek ten north strathaus,-363
2022/02/28,amznprimeau membership sydney southnsw,-6.99
2022/02/27,ezi*wellness local (m mortlake aus,-49
2022/02/27,sq *powells creek ten north strathaus,-45
2022/02/27,uber *eats sydney aus,-41.3
2022/02/26,uber* trip sydney nsw,-15.55
2022/02/26,sq *wolfpack coffee r mortlake aus,-4.8
2022/02/26,google *google storage 650-253-0000ca 0222 21.31 us dollar,-30.04
2022/02/26,uber *trip sydney aus,-12.95
2022/02/25,curiositystream silver sprinmd 0222 3.29 us dollar,-4.64
2022/02/25,iga breakfast breakfast poaus,-82.97
2022/02/24,sq *powells creek ten north strathaus,-340
2022/02/23,oriantal mortlake nsw,-68
2022/02/23,iga breakfast breakfast poaus,-54.75
2022/02/22,uber *eats sydney aus,-40.98
2022/02/21,sq *wolfpack coffee r mortlake aus,-9.1
2022/02/21,post concord-ret co concord wau,-25.1
2022/02/21,steamgames.com 4259522 hamburg deu  deu merchant,-35.95
2022/02/20,ezi*wellness local (m mortlake aus,-49
2022/02/20,ezi*f45 training conc mortlake aus,-240
2022/02/20,sq *powells creek ten north strathaus,-85
2022/02/19,amzn digital*1i32t24k1 888-802-3080wa 0222 9.34 us dollar,-13.04
2022/02/19,bunnings 595000 ashfield,-101.96
2022/02/19,apple.com/bill sydney nsw,-37.48
2022/02/18,iga breakfast breakfast poaus,-11.85
2022/02/18,sq *wolfpack coffee r mortlake aus,-21.9
2022/02/18,uber *eats sydney aus,-52.48
2022/02/18,palace hotel mortlake aus,-30.17
2022/02/18,palace hotel mortlake aus,-22.07
2022/02/18,palace hotel mortlake aus,-22.07
2022/02/18,palace hotel mortlake aus,-8.91
2022/02/18,apple.com/bill sydney nsw,-51.99
2022/02/18,uber *eats sydney aus,-56.98
2022/02/17,apple.com/bill sydney nsw,-6.99
2022/02/17,apple.com/bill sydney aus,-1.49
